Question,Intent
Kindly Give details about AI program,ai_courses
I want to know What is the syllabus for Electrical course?,electrical_courses
Can you please Can I apply for tuition fee?,fees
Kindly Give me details of Computer Science,cse_courses
Can you please Career opportunities in Mechanical Engineering,mechanical_courses
What labs are available for companies students?,placement
Career opportunities in campus,infrastructure
Can you please Give me details of internship,placement
Please Tell me about installment payment facility,fees
Is girls hostel available at NIET?,hostel
Please Can you explain about installment payment?,fees
Does NIET have MCA fees?,fees
Kindly Tell me about wifi,hostel
Can you please Placement details for Electrical Engineering,electrical_courses
Please Eligibility for Computer Science Engineering?,cse_courses
Kindly What labs are available for MCA fees students?,fees
I want to know What are the subjects in canteen?,infrastructure
Kindly Can you explain about library?,infrastructure
Kindly What services are included in boys hostel?,hostel
Can you please How is Computer Science Engineering at NIET?,cse_courses
Is ac room free for students?,hostel
Can you please Give details about companies,placement
Kindly Is library available on campus?,infrastructure
I want to know Give me details of Machine Learning,ai_courses
Kindly Career opportunities in Artificial Intelligence,ai_courses
Tell me about internship,placement
Can you please Tell me about hostel facility,hostel
I want to know Is gym available on campus?,infrastructure
Kindly What are the features of MCA fees?,fees
I want to know Is medical facilities available at NIET?,infrastructure
Please Give details about Mechanical course,mechanical_courses
What courses are offered in admission?,admissions
Kindly How is hostel facilities at NIET?,hostel
How is the M.Tech fees at NIET?,fees
Please What labs are available for MBA fees students?,fees
Can you please Is Civil department available at NIET?,civil_courses
Can you please How is admission process at NIET?,admissions
Kindly Give details about companies,placement
I want to know What is hostel?,hostel
I want to know Is CS branch available at NIET?,cse_courses
Kindly Give details about medical facilities,infrastructure
Eligibility for boys hostel?,hostel
Kindly Can I apply for college fees?,fees
Please Career opportunities in library,infrastructure
I want to know Is canteen available on campus?,infrastructure
What are the subjects in sports facilities?,infrastructure
Kindly Placement details for Machine Learning,ai_courses
Career opportunities in Electrical department,electrical_courses
Kindly Placement details for installment payment,fees
Can you please What are the features of canteen?,infrastructure
Please Can I apply for Mechanical branch?,mechanical_courses
Kindly Fees for hostel program?,hostel
Kindly Provide some information on college fees,fees
Can you please Does NIET offer Electrical branch?,electrical_courses
Can you please What labs are available for admission students?,admissions
Can I apply for installment payment?,fees
Can you please Hostel fees for Civil branch students?,civil_courses
Please Duration of Civil branch course?,civil_courses
Can you please What is medical facilities?,infrastructure
Is hostel facilities available on campus?,hostel
Tell me about college fees facility,fees
Please Hostel fees for Electrical course students?,electrical_courses
Please How is B.Tech fees at NIET?,fees
Please Duration of girls hostel course?,hostel
Kindly What are the features of wifi?,hostel
Can you please Career opportunities in hostel,hostel
Can you please What courses are offered in admission date?,admissions
Please What courses are offered in sports facilities?,infrastructure
Can you please Is admission date available at NIET?,admissions
Can you please Fees for gym program?,infrastructure
Can you please Provide some information on admission form,admissions
Please Fees for placement program?,placement
Can you please Placement details for admission date,admissions
Give me details of internship,placement
Can you please Can I apply for Computer Science?,cse_courses
I want to know Is mess free for students?,hostel
I want to know Give me details of internship,placement
Can I apply for Mechanical course?,mechanical_courses
I want to know Tell me about direct admission,admissions
Kindly What are the subjects in canteen?,infrastructure
Can you please Duration of canteen course?,infrastructure
Please What are the subjects in placement?,placement
Please Is sports facilities free for students?,infrastructure
Can I apply for Mechanical branch?,mechanical_courses
Can you please Fees for Civil Engineering program?,civil_courses
Can you please Does hostel provide hostel?,hostel
Kindly Is Electrical branch available at NIET?,electrical_courses
Is Electrical branch available at NIET?,electrical_courses
Kindly Give me information about medical facilities at NIET,infrastructure
Kindly Tell me about Mechanical department,mechanical_courses
I want to know Does NIET have wifi?,hostel
Can you explain about girls hostel?,hostel
I want to know Tell me about wifi,infrastructure
I want to know What is Electrical branch?,electrical_courses
Can you please Duration of wifi course?,hostel
I want to know What courses are offered in Electrical branch?,electrical_courses
Kindly Is medical facilities available on campus?,infrastructure
Please Can you explain about Civil Engineering?,civil_courses
Fees for Civil department program?,civil_courses
Does NIET offer CSE?,cse_courses
Can you please Placement details for direct admission,admissions
Can you please Give me details of M.Tech fees,fees
Kindly What is placement?,placement
Can you please Tell me about Artificial Intelligence,ai_courses
Kindly How is Civil course at NIET?,civil_courses
Kindly Career opportunities in B.Tech fees,fees
Can you please Provide some information on hostel,hostel
Please Give me details of canteen,infrastructure
Can you please How is the MBA fees at NIET?,fees
